HS_Subfind,,Bolshoi_BDM,,GIF_SURV,,Model_GIFcosm,,Bolshoi_Rockstar,,MultiDark_BDM,,MultiDark_Rockstar,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-2.946641249092229,1.2541334763071907,-2.946641249092229,1.3248595792483673,-2.2560457516339865,0.6724837736020342,-2.923874364560638,1.2715158632897616,-2.5659283466473006,1.0355340149176966,-1.5237109658678278,0.14796889893110077,-1.5199164851125628,0.07932127133260769
-2.863162672476397,1.1768532702432837,-2.863162672476397,1.256747571713872,-2.1725671750181546,0.6441006263616564,-2.840395787944807,1.198164885167031,-2.4814379084967317,0.9632175358569365,-1.3833151779230208,0.10372129175744416,-1.4364379084967318,0.027799337327524043
-2.779684095860566,1.1008828068264354,-2.779684095860566,1.1873258215323177,-2.0890885984023235,0.6030566335330438,-2.7569172113289753,1.120884679103124,-2.4002360203340594,0.8880846609477134,-1.299836601307189,0.0639870415758903,-1.3529593318809,-0.027215243736383066
-2.6962055192447343,1.0236026007625285,-2.6962055192447343,1.1174674904684108,-2.0056100217864916,0.5187911333514896,-2.6734386347131442,1.0484068627450993,-2.3167574437182274,0.8103678740014534,-1.216358024691357,0.00591639433551272,-1.269480755265068,-0.08441272921205467
-2.6127269426289033,0.9471955564633272,-2.6127269426289033,1.045426254992739,-1.9221314451706606,0.4314695669934647,-2.5899600580973123,0.9733095610929569,-2.2332788671023955,0.7400729620551934,-1.132879448075526,-0.05302741466957106,-1.186002178649237,-0.1442296999818442
-2.5292483660130713,0.8712250930464789,-2.5292483660130713,0.9733850195170671,-1.8386528685548287,0.3712160153413224,-2.5064814814814813,0.9003951638525791,-2.1498002904865645,0.6815657339324628,-1.049400871459694,-0.11502728985112509,-1.102523602033405,-0.20841247957516296
-2.4457697893972394,0.791761982570807,-2.4457697893972394,0.8956682325708071,-1.7551742919389977,0.32144040486565073,-2.4230029048656494,0.8322831563180838,-2.0663217138707326,0.623931667574438,-0.965922294843863,-0.18313929738562051,-1.056989832970224,-0.2535420070806098
-2.3622912127814084,0.7179744235657235,-2.3622912127814084,0.8157685412127823,-1.6716957153231657,0.2699184708605671,-2.3395243282498175,0.7589321781953531,-1.9828431372549016,0.5562562409222955,-0.8824437182280311,-0.2525610475671747,-0.9127995642701521,-0.3617439973674652
-2.2788126361655765,0.6385113130900519,-2.2788126361655765,0.7367420116194636,-1.5882171387073338,0.22145260303195413,-2.2864015976761065,0.7117383238017438,-1.8993645606390697,0.4872710716230946,-0.7989651416122001,-0.3215462168663761,-0.8407044299201152,-0.4260500706358932
-2.1953340595497455,0.5603579452614387,-2.2181009440813355,0.689754050925927,-1.5047385620915028,0.16818434549745875,-2.1422113289760345,0.5900023261619471,-1.8158859840232386,0.41959564497095214,-0.7154865649963682,-0.39053138616557703,-0.7230755265068982,-0.5779431622185909
-2.1118554829339136,0.48438748184459035,-2.1004720406681185,0.5792160834241113,-1.421259985475671,0.09003097766884616,-2.0587327523602026,0.5175245098039225,-1.7324074074074067,0.3602152550835156,-0.6320079883805372,-0.4608262981118374,-0.6775417574437173,-0.6414090867828612
-2.0283769063180825,0.40579753313362454,-2.0435548293391426,0.5282396060275971,-1.3377814088598399,0.008384962781409433,-1.992961752602275,0.463397463537885,-1.6489288307915757,0.303454350490197,-0.5599128540305003,-0.5555293153140886,-0.5143790849673193,-0.9846317288489468
-1.9448983297022506,0.32939048883442323,-1.7931190994916477,0.31036957607117,-1.254302832244008,-0.05754414034132127,-1.3093228031953519,-0.08940107003449471,-1.5654502541757438,0.24494712236746619,-0.4992011619462593,-0.6578320738017425,-0.3588053740014514,-1.3599888798111834
-1.8614197530864196,0.24992737835875145,-1.7096405228758167,0.2422575685366748,-1.170824255628177,-0.11037581699346344,-1.220911401597676,-0.16245668232570742,-1.4819716775599119,0.18338382806826514,-0.4384894698620183,-0.7595345335761619,-0.33603848946986137,-1.5853454634168487
-1.7779411764705877,0.1695911061183739,-1.6261619462599848,0.16890659041394396,-1.087345679012345,-0.17761466276325288,-1.140468409586056,-0.22472227895787933,-1.3807855240861766,0.09037233720648818,-0.38157225853304233,-0.8556363228161632,-0.29240196078431335,-1.8395904962100582
-1.6944625998547558,0.08881825299564339,-1.5730392156862738,0.1241866943536678,-1.007661583151779,-0.2825460693536668,-1.056989832970224,-0.2980732570806093,-1.307425562817719,0.03199805964052338,-0.3398329702251264,-0.9578924972766885,-0.2791212781408854,-1.9450355590731667
-1.6109840232389248,0.004552752814089178,-1.4440268700072618,-0.0024433210784307047,-0.9317719680464771,-0.3870128676470581,-0.9811002178649231,-0.3686807824981839,-1.223946986201888,-0.03174813907044238,-0.2829157588961504,-1.143335886437908,-0.26394335511982536,-2.045648587849492
-1.5275054466230928,-0.08233223266158252,-1.36054829339143,-0.07579429920116132,-0.8520878721859111,-0.4572797521786489,-0.8065541031227301,-0.5303504561546837,-1.140468409586056,-0.09374801425199664,-0.24497095134349944,-1.2676051311728394,-0.25255991285402946,-2.1091023851670303
-1.4440268700072618,-0.17314644607843088,-1.2770697167755989,-0.14958185820624492,-0.7686092955700792,-0.5044358773602027,-0.7382534495279591,-0.6066828120136938,-1.056989832970224,-0.1657892497276683,-0.2108206245461144,-1.378486973493101,,
-1.36054829339143,-0.27225569625998514,-1.193591140159767,-0.2190036083877991,-0.6927196804647782,-0.5690767973856206,-0.5181735657225843,-0.8635640772512709,-0.9735112563543931,-0.25049133079157526,-0.18046477850399345,-1.4776622497957517,,
-1.280864197530864,-0.36941596314451663,-1.110112563543935,-0.2879887776870005,-0.6320079883805372,-0.6887215187000724,-0.46125635439360835,-0.9565881445170663,-0.8900326797385611,-0.3347568309731299,-0.1501089324618734,-1.5768375260984024,,
-1.204974582425562,-0.48252706290849634,-1.026633986928104,-0.37792982933914265,-0.5788852578068262,-0.7997185506146907,-0.4271060275962233,-1.0889206608569353,-0.8065541031227301,-0.42600762527233105,-0.12354756717501747,-1.6796738834422662,,
-1.140468409586056,-0.5848391382015765,-0.9431554103122721,-0.4822780501089321,-0.5295570079883802,-0.9032282588961511,-0.40433914306463237,-1.187814315541031,-0.7610203340595492,-0.4794321895424831,-0.11595860566448746,-1.8300301833696446,,
-1.087345679012345,-0.68623139070443,-0.8634713144517061,-0.583804125816993,-0.4878177196804643,-1.0063077001633989,-1.851851851851852,0.3614969135802477,-0.5257625272331152,-0.991532940722585,-0.11595860566448746,-1.9356827568990562,,
-1.038017429193899,-0.7879116171931737,-0.7989651416122001,-0.6933883912361241,-0.45366739288307834,-1.1169494229983656,-1.5432098765432096,0.08506944444444509,-0.4878177196804643,-1.1052369281045755,-0.11785584604211952,-2.0541713473583885,,
-0.9962781408859831,-0.8865088280682643,-0.7458424110384891,-0.795466699411246,-0.4233115468409583,-1.2173252967274872,,,-0.45366739288307834,-1.2105960222630716,-0.11595860566448746,-2.1069679897421936,,
-0.958333333333333,-0.989647558097313,-0.6927196804647782,-0.8982310632586366,-0.39295570079883735,-1.316500573030138,,,-0.4195170660856933,-1.3231587009803922,,,,
-0.9203885257806821,-1.1062329793028325,-0.6395969498910672,-0.9996233157614896,-0.3625998547567173,-1.4168764467592596,,,-0.38536673928830734,-1.436441738153595,,,,
-0.8862381989832961,-1.212552551402505,-0.5978576615831512,-1.1071964216820986,-0.33224400871459636,-1.5172523204883808,,,-0.3588053740014514,-1.5360765023602037,,,,
-0.8558823529411761,-1.327335594249274,-0.5712962962962953,-1.248051697530864,-0.30568264342774043,-1.5928751361655777,,,-0.3436274509803914,-1.6206815654502544,,,,
-0.8293209876543202,-1.4441789215686271,-0.5504266521423382,-1.3789909279684096,,,,,-0.26014887436456036,-1.9123229847494554,,,,
-0.8065541031227301,-1.5526773556644882,-0.5287981118373271,-1.511198937908497,,,,,-0.23358750907770442,-2.0403718880492017,,,,
-0.7837872185911392,-1.6611757897603487,-0.5029956427015243,-1.6407804557007988,,,,,-0.2108206245461144,-2.106049013934278,,,,
-0.7610203340595492,-1.784481592116013,-0.4821259985475663,-1.7717196861383444,,,,,-2.679012345679012,1.1141975308641987,,,,
-0.7420479302832241,-1.9086470815177923,-0.46125635439360835,-1.893854535448439,,,,,-2.9753086419753085,1.3595679012345692,,,,
-0.7200399419026864,-2.04437091503268,-0.4346949891067533,-2.0471159847040674,,,,,-0.6296296296296289,-0.6819058641975304,,,,
-0.7078976034858382,-2.1186182314360935,-0.4157225853304283,-2.1140529967774153,,,,,,,,,,
,,0.016848220769790423,1.5053035783179023,,,,,,,,,,
